household_id;municipality_id;grid_id;HLA;HSC;HSI;age;SEX;AG2;EMP
055540036036-0;055540036036;100mN32199E41204;PO;OS;2;65;M;6574;EMP
055540036036-0;055540036036;100mN32199E41204;PO;OS;2;68;M;6574;EMP
055540036036-1;055540036036;100mN32199E41204;MC;MIX;6;65;M;6574;EMP
055540036036-1;055540036036;100mN32199E41204;MC;MIX;6;23;M;1824;EMP
055540036036-1;055540036036;100mN32199E41204;MC;MIX;6;20;M;1824;EMP
055540036036-1;055540036036;100mN32199E41204;MC;MIX;6;8;F;0614;NEP
055540036036-1;055540036036;100mN32199E41204;MC;MIX;6;0;M;0003;NEP
055540036036-1;055540036036;100mN32199E41204;MC;MIX;6;7;M;0614;NEP
055540036036-2;055540036036;100mN32199E41204;MC;NA;5;47;F;4049;EMP
055540036036-2;055540036036;100mN32199E41204;MC;NA;5;44;F;4049;NEP
055540036036-2;055540036036;100mN32199E41204;MC;NA;5;13;M;0614;NEP
055540036036-2;055540036036;100mN32199E41204;MC;NA;5;0;F;0003;NEP
055540036036-2;055540036036;100mN32199E41204;MC;NA;5;12;M;0614;NEP
055540036036-3;055540036036;100mN32178E41220;PO;MIX;5;68;M;6574;EMP
055540036036-3;055540036036;100mN32178E41220;PO;MIX;5;48;M;4049;EMP
055540036036-3;055540036036;100mN32178E41220;PO;MIX;5;52;M;5064;EMP
055540036036-3;055540036036;100mN32178E41220;PO;MIX;5;4;F;0305;NEP
055540036036-3;055540036036;100mN32178E41220;PO;MIX;5;31;F;3039;EMP
055540036036-4;055540036036;100mN32169E41224;MC;NA;2;47;M;4049;NEP
055540036036-4;055540036036;100mN32169E41224;MC;NA;2;46;M;4049;EMP
055540036036-5;055540036036;100mN32174E41216;MC;MIX;5;70;M;6574;EMP
055540036036-5;055540036036;100mN32174E41216;MC;MIX;5;36;M;3039;UEP
055540036036-5;055540036036;100mN32174E41216;MC;MIX;5;33;M;3039;EMP
055540036036-5;055540036036;100mN32174E41216;MC;MIX;5;11;M;0614;NEP
055540036036-5;055540036036;100mN32174E41216;MC;MIX;5;13;F;0614;NEP
